girl,std_mark,realpercentile,kcpe2001,kcpe2004,total_2004,rotation,total1_2005,streams1_2005,init_clsize,Nteachers,gradesize,schoolsize,Y2,schoolid,streamsize,Y1,Nteachers_prim,treatment,costs
0,-0.35050866,55.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,5.0,11,1,30
0,-0.95638806,18.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,12.1214285,11,1,30
1,0.31045064,67.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,9.764286,11,1,30
1,-0.35050866,43.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,1.4571428,11,1,30
0,-1.1216279,11.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,4.8428574,11,1,30
0,0.47569048,71.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,26.3,11,1,30
1,-0.46066856,48.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,9.771429,11,1,30
1,0.42061055,70.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,11.478571,11,1,30
0,-0.73606825,27.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,23.885714,11,1,30
1,-1.2317878,6.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,0.8928572,11,1,30
0,-0.46066856,48.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,5.264286,11,1,30
1,-0.35050866,42.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,11.478571,11,1,30
0,-0.1301889,52.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,4.9357142,11,1,30
1,1.852689,93.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,10.442858,11,1,30
0,-0.4055886,36.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,9.914286,11,1,30
0,1.1366498,86.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,16.12857,11,1,30
1,-0.18526883,51.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,20.75,11,1,30
0,0.5307704,74.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,15.785714,11,1,30
1,0.58585036,77.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,13.757143,11,1,30
1,-0.46066856,35.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,6.857143,11,1,30
1,-0.18526883,50.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,4.7714286,11,1,30
0,0.5307704,74.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,26.135715,11,1,30
0,1.6323693,91.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,12.142857,11,1,30
0,-0.8462282,24.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,25.042858,11,1,30
0,1.0815699,84.0,214.78,288.631,598,0,91.0,1,91.0,9,102.0,1.02,1500.0,443,50.0,27.078571,11,1,30
0,0.5843755,65.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,6.142857,15,0,0
0,-0.9994587,18.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,20.042858,15,0,0
0,-0.6826918,30.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,7.7,15,0,0
1,1.5622209,99.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,34.514282,15,0,0
0,-0.7515542,26.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,13.778571,15,0,0
1,-0.20754157,42.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,13.6,15,0,0
1,-0.51742214,35.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,6.7,15,0,0
0,-0.44167358,38.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,1.5,15,0,0
0,-1.4608364,8.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,3.0,15,0,0
1,0.48108196,60.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,7.1,15,0,0
1,-0.7240092,32.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,14.485714,15,0,0
1,1.1421605,90.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,6.3071427,15,0,0
1,-1.7156272,4.0,254.09,251.0,649,1,105.0,1,105.0,14,102.0,1.02,0.0,446,102.0,0.7285714,15,0,0
