pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
8014027.0,8014.0,0.0,0.35408044606851447,0.025194117991039624,1,1,0,1,0,0,1,1,0,0,6.0,1,0.0,32.0,32.0
8014028.0,8014.0,0.0,0.5210471180385021,-0.47392265971669567,1,1,0,1,0,0,0,1,0,0,6.0,1,0.0,32.0,24.0
8014029.0,8014.0,0.0,0.47567240498604874,0.6109754095625027,1,1,0,1,0,0,0,1,0,0,6.0,1,0.0,32.0,38.0
8014045.0,8014.0,0.0,0.3404352796890739,-0.1011607586632957,0,0,0,1,1,0,0,0,0,0,6.0,1,0.0,30.0,28.0
8014056.0,8014.0,0.0,0.349454991999508,0.3093291294856536,0,0,0,1,1,0,0,1,0,0,6.0,1,0.0,30.0,34.0
8014062.0,8014.0,0.0,0.3151995047334948,,0,0,0,1,1,0,1,0,0,0,6.0,1,0.0,30.0,
8015006.0,8015.0,0.0,0.48445373524612984,1.6377554870801208,1,1,1,1,0,1,1,0,0,0,6.0,1,0.0,34.0,52.0
8015030.0,8015.0,0.0,0.33037540341243304,1.1498712581317425,0,0,1,1,1,0,0,0,0,0,6.0,1,0.0,32.0,42.0
8015031.0,8015.0,0.0,0.5062065987052231,,0,0,1,1,1,0,0,1,0,0,6.0,1,0.0,34.0,
8015034.0,8015.0,0.0,0.39701575401988615,,0,0,1,1,1,1,1,1,0,0,6.0,1,0.0,34.0,
8016013.0,8016.0,0.0,0.2937911788760614,-1.3752810563667794,1,0,1,1,0,0,0,0,0,0,6.0,1,0.0,30.0,18.0
8016021.0,8016.0,0.0,0.33394314576194684,-0.0530100537115537,0,0,1,1,1,0,0,0,0,0,6.0,1,0.0,32.0,30.0
8016036.0,8016.0,0.0,0.47789762722416607,-0.43627941991344443,1,0,1,0,1,1,0,1,0,0,6.0,1,0.0,32.0,26.0
8017001.0,8017.0,1.0,0.273607385379359,0.08273108066212187,0,0,1,1,0,1,1,0,1,0,6.0,1,2000.0,32.0,30.0
8017002.0,8017.0,1.0,0.5284953538375232,-0.3515250082411469,0,0,1,1,0,0,1,1,1,0,6.0,1,20000.0,32.0,26.0
8017012.0,8017.0,1.0,0.4815199514424721,0.9832117219806968,1,1,1,1,0,0,1,1,1,0,6.0,1,16000.0,32.0,40.0
8017014.0,8017.0,1.0,0.4890958346125389,1.1941667342206725,1,1,1,1,1,0,1,1,1,0,6.0,1,18000.0,32.0,44.0
