id,treatment_match,costs,er_amount_total,dayXlocation,us_stu_insch,us_stu_edlvl,us_stu_grade,us_stu_edlvl_all,us_stu_female,us_stu_mig_rel,us_stu_age,us_stu_grade_all,us_stu_yearsofed,us_stu_mig_rel_child,us_stu_mig_rel_sib,us_stu_mig_rel_niece,us_stu_mig_rel_cousin,treatment_tmp1,treatment_tmp2
120244.0,0,0.0,0.0,2.19024,1.0,5.0,3.0,5.0,1.0,5.0,22.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,
120245.0,0,0.0,0.0,2.19024,1.0,4.0,10.0,4.0,0.0,3.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,
120246.0,0,0.0,0.0,2.19024,1.0,4.0,10.0,4.0,1.0,4.0,18.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
200008.0,2,0.0,0.0,1.18941,1.0,4.0,11.0,4.0,0.0,2.0,20.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
200010.0,2,0.0,0.0,1.18941,1.0,4.0,13.0,4.0,0.0,1.0,18.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
200017.0,3,0.0,0.0,1.18941,1.0,4.0,10.0,4.0,1.0,5.0,15.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0
200022.0,2,0.0,0.0,1.18949,1.0,4.0,11.0,4.0,1.0,4.0,15.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
200026.0,3,0.0,0.0,1.18941,1.0,3.0,9.0,3.0,1.0,1.0,15.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0
200027.0,1,0.0,0.0,1.18949,1.0,5.0,1.0,5.0,0.0,1.0,20.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
200030.0,2,0.0,0.0,1.18941,1.0,5.0,1.0,5.0,1.0,2.0,29.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
200031.0,1,0.0,0.0,1.18949,1.0,5.0,3.0,5.0,0.0,1.0,22.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,
200032.0,2,0.0,0.0,1.18949,1.0,5.0,1.0,5.0,1.0,2.0,24.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
200033.0,3,0.0,0.0,1.18949,1.0,3.0,9.0,3.0,1.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0
200036.0,3,0.0,0.0,1.18949,1.0,4.0,12.0,4.0,0.0,1.0,17.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0
200038.0,2,0.0,0.0,1.18962,1.0,5.0,2.0,5.0,0.0,2.0,20.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
200039.0,3,0.0,0.0,1.18974,1.0,3.0,9.0,3.0,0.0,4.0,20.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0
200041.0,3,375.0,500.0,1.18974,1.0,3.0,9.0,3.0,0.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0
200042.0,1,0.0,0.0,1.18974,1.0,3.0,9.0,3.0,1.0,1.0,14.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
200043.0,2,0.0,0.0,1.18997,1.0,4.0,10.0,4.0,0.0,4.0,17.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
200045.0,1,0.0,0.0,1.18997,1.0,4.0,10.0,4.0,0.0,4.0,14.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
200048.0,2,0.0,0.0,1.18966,1.0,3.0,9.0,3.0,1.0,1.0,16.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
200049.0,2,0.0,0.0,1.18966,1.0,5.0,3.0,5.0,0.0,5.0,20.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
200050.0,3,375.0,500.0,1.18966,1.0,3.0,9.0,3.0,0.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0
200052.0,1,0.0,0.0,1.18966,1.0,4.0,11.0,4.0,1.0,4.0,15.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
200053.0,1,0.0,0.0,1.18966,1.0,4.0,10.0,4.0,0.0,2.0,17.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
200054.0,3,0.0,0.0,1.18966,1.0,4.0,12.0,4.0,0.0,5.0,20.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0
200055.0,3,0.0,0.0,1.18966,1.0,3.0,9.0,3.0,0.0,1.0,17.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0
200056.0,2,0.0,0.0,1.18966,1.0,4.0,13.0,4.0,0.0,4.0,16.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
200057.0,2,0.0,0.0,1.18966,1.0,4.0,13.0,4.0,1.0,1.0,18.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
200058.0,1,0.0,0.0,1.18966,1.0,3.0,9.0,3.0,0.0,1.0,18.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
200059.0,1,0.0,0.0,1.18966,1.0,4.0,12.0,4.0,0.0,1.0,19.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,
200060.0,3,0.0,0.0,1.19008,1.0,4.0,11.0,4.0,1.0,2.0,18.0,11.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0
200061.0,2,0.0,0.0,1.19008,1.0,5.0,2.0,5.0,1.0,2.0,17.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
200063.0,1,0.0,0.0,1.18997,1.0,4.0,10.0,4.0,1.0,1.0,15.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
